"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","1752504.0","1458930.0","293574.0","113258.0","-24370.0","135917.0","1711.0","786656.0","514998.0","-9560.0","281218.0","2652418.0"
"和歌山市","672431.0","554565.0","117865.0","42386.0","-17525.0","59360.0","552.0","398668.0","308280.0","-13351.0","103738.0","1113485.0"
"海南市","94281.0","79041.0","15240.0","6354.0","-798.0","7070.0","82.0","53317.0","30968.0","4096.0","18253.0","153952.0"
"橋本市","120402.0","100900.0","19502.0","6968.0","-1489.0","8391.0","66.0","36311.0","18005.0","996.0","17310.0","163682.0"
"有田市","49996.0","41856.0","8140.0","2815.0","-534.0","3317.0","32.0","18017.0","7948.0","676.0","9393.0","70827.0"
"御坊市","40943.0","33692.0","7251.0","3187.0","-387.0","3535.0","39.0","20628.0","14907.0","-2019.0","7740.0","64758.0"
"田辺市","135189.0","112464.0","22725.0","9594.0","-912.0","10348.0","159.0","55526.0","35123.0","-1015.0","21418.0","200309.0"
"新宮市","53673.0","44489.0","9184.0","3942.0","-531.0","4381.0","92.0","24652.0","16160.0","-93.0","8585.0","82268.0"
"紀の川市","114876.0","97034.0","17843.0","6817.0","-861.0","7564.0","113.0","35762.0","16057.0","1156.0","18549.0","157455.0"
"岩出市","89357.0","74957.0","14401.0","4989.0","-454.0","5394.0","49.0","20378.0","8403.0","1800.0","10175.0","114724.0"
"海草郡_紀美野町","19329.0","16295.0","3034.0","1285.0","-28.0","1301.0","13.0","4830.0","1409.0","74.0","3347.0","25444.0"
"伊都郡_かつらぎ町","32292.0","26959.0","5333.0","2105.0","-139.0","2225.0","19.0","9567.0","3414.0","310.0","5843.0","43964.0"
"伊都郡_九度山町","8921.0","7568.0","1353.0","636.0","-31.0","654.0","12.0","2058.0","657.0","-24.0","1426.0","11615.0"
"伊都郡_高野町","8510.0","7209.0","1301.0","692.0","12.0","572.0","109.0","2645.0","1370.0","-123.0","1398.0","11847.0"
"有田郡_湯浅町","21939.0","18101.0","3837.0","1544.0","12.0","1509.0","24.0","7560.0","2771.0","471.0","4319.0","31043.0"
"有田郡_広川町","12113.0","10142.0","1972.0","344.0","-425.0","758.0","10.0","4620.0","1530.0","1004.0","2086.0","17077.0"
"有田郡_有田川町","40668.0","34175.0","6493.0","2057.0","-831.0","2845.0","43.0","17779.0","8055.0","1068.0","8656.0","60504.0"
"日高郡_美浜町","14643.0","12203.0","2440.0","1852.0","868.0","975.0","8.0","1969.0","960.0","-905.0","1913.0","18464.0"
"日高郡_日高町","11732.0","9964.0","1768.0","685.0","-124.0","798.0","10.0","2829.0","905.0","10.0","1914.0","15246.0"
"日高郡_由良町","11122.0","9403.0","1720.0","777.0","-23.0","786.0","14.0","4119.0","2414.0","-65.0","1771.0","16019.0"
"日高郡印南町","13014.0","11019.0","1995.0","912.0","-115.0","1013.0","14.0","4642.0","2232.0","102.0","2308.0","18567.0"
"日高郡みなべ町","19954.0","16818.0","3136.0","1337.0","-267.0","1584.0","20.0","10900.0","5645.0","383.0","4872.0","32190.0"
"日高郡日高川町","18124.0","15373.0","2750.0","1070.0","-209.0","1257.0","22.0","2941.0","3100.0","-2785.0","2626.0","22134.0"
"西牟婁郡_白浜町","42484.0","35582.0","6902.0","2857.0","1.0","2796.0","59.0","17310.0","11488.0","51.0","5771.0","62651.0"
"西牟婁郡_上富田町","26152.0","21803.0","4350.0","1601.0","-182.0","1743.0","40.0","8336.0","4773.0","30.0","3533.0","36089.0"
"西牟婁郡_すさみ町","7742.0","6521.0","1221.0","626.0","29.0","584.0","13.0","2356.0","893.0","11.0","1452.0","10724.0"
"東牟婁郡_那智勝浦町","30134.0","25448.0","4686.0","2187.0","59.0","2097.0","31.0","7603.0","2565.0","-238.0","5275.0","39923.0"
"東牟婁郡_太地町","5650.0","4800.0","850.0","374.0","-27.0","398.0","3.0","1375.0","276.0","132.0","967.0","7399.0"
"東牟婁郡_古座川町","5342.0","4510.0","832.0","407.0","3.0","381.0","23.0","781.0","389.0","-517.0","909.0","6530.0"
"東牟婁郡_北山村","1003.0","856.0","147.0","69.0","2.0","65.0","2.0","253.0","172.0","-25.0","106.0","1326.0"
"東牟婁郡_串本町","30491.0","25186.0","5305.0","2788.0","535.0","2216.0","37.0","8925.0","4130.0","-769.0","5564.0","42203.0"
"海草地区","786040.0","649901.0","136139.0","50026.0","-18350.0","67731.0","646.0","456815.0","340658.0","-9181.0","125338.0","1292880.0"
"那賀地区","204234.0","171990.0","32243.0","11806.0","-1315.0","12958.0","163.0","56140.0","24461.0","2955.0","28724.0","272180.0"
"伊都地区","170125.0","142636.0","27489.0","10401.0","-1647.0","11842.0","206.0","50581.0","23445.0","1159.0","25977.0","231107.0"
"有田地区","124716.0","104274.0","20442.0","6760.0","-1778.0","8430.0","108.0","47976.0","20303.0","3219.0","24453.0","179451.0"
"日高地区","129531.0","108471.0","21060.0","9819.0","-257.0","9948.0","128.0","48027.0","30162.0","-5279.0","23144.0","187378.0"
"西牟婁地区","211567.0","176370.0","35197.0","14678.0","-1064.0","15471.0","272.0","83528.0","52277.0","-922.0","32173.0","309772.0"
"東牟婁地区","126292.0","105288.0","21004.0","9768.0","41.0","9538.0","188.0","43589.0","23692.0","-1510.0","21408.0","179649.0"
