"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","52.1","42.8","9.3","4.2","-0.9","5.0","0.1","43.7","32.1","0.5","11.0","100.0"
"和歌山市","45.7","37.5","8.2","3.5","-1.3","4.7","0.1","50.8","40.5","0.4","9.9","100.0"
"海南市","46.5","38.6","8.0","3.3","-1.1","4.3","0.0","50.2","38.2","1.2","10.8","100.0"
"橋本市","67.1","54.9","12.2","4.1","-1.7","5.8","0.1","28.9","16.9","0.5","11.5","100.0"
"有田市","41.1","33.8","7.3","2.7","-0.9","3.5","0.0","56.2","45.4","0.9","9.9","100.0"
"御坊市","57.3","46.2","11.1","6.1","0.3","5.7","0.1","36.6","30.8","-7.1","12.9","100.0"
"田辺市","55.2","45.1","10.1","6.8","1.2","5.5","0.1","38.0","26.6","0.3","11.1","100.0"
"新宮市","50.9","40.9","10.0","4.1","-1.2","5.2","0.1","45.0","34.4","0.5","10.2","100.0"
"紀の川市","62.9","52.2","10.7","4.4","-1.2","5.5","0.1","32.8","19.4","0.8","12.5","100.0"
"岩出市","65.4","54.0","11.4","4.7","-0.9","5.6","0.0","29.8","18.8","0.8","10.2","100.0"
"海草郡_紀美野町","68.0","56.4","11.6","4.1","-1.9","5.9","0.1","27.9","11.3","1.1","15.5","100.0"
"伊都郡_かつらぎ町","61.1","50.2","10.9","4.4","-1.1","5.4","0.0","34.5","18.6","1.3","14.6","100.0"
"伊都郡_九度山町","69.4","57.9","11.6","4.7","-1.7","6.3","0.1","25.9","9.0","2.0","14.9","100.0"
"伊都郡_高野町","65.2","54.4","10.8","6.0","-1.3","5.2","2.2","28.7","15.7","0.5","12.6","100.0"
"有田郡_湯浅町","59.1","47.7","11.4","5.5","0.3","5.1","0.1","35.3","20.7","-0.2","14.8","100.0"
"有田郡_広川町","59.5","48.6","10.9","4.0","-1.1","5.1","0.1","36.5","20.2","2.4","13.8","100.0"
"有田郡_有田川町","55.2","45.4","9.8","3.4","-1.7","5.1","0.1","41.4","23.7","2.2","15.5","100.0"
"日高郡_美浜町","64.6","52.1","12.5","18.1","12.6","5.5","0.0","17.3","7.1","0.1","10.1","100.0"
"日高郡_日高町","69.1","57.7","11.4","4.5","-1.8","6.2","0.1","26.4","11.5","1.3","13.5","100.0"
"日高郡_由良町","64.0","53.3","10.7","4.8","-1.1","5.8","0.1","31.2","17.4","0.5","13.3","100.0"
"日高郡印南町","56.1","46.7","9.4","4.2","-1.4","5.6","0.1","39.7","23.6","2.2","13.9","100.0"
"日高郡みなべ町","55.2","45.5","9.7","4.0","-1.8","5.8","0.1","40.8","22.8","1.4","16.6","100.0"
"日高郡日高川町","57.5","47.8","9.7","3.8","-1.7","5.4","0.1","38.6","26.0","1.4","11.2","100.0"
"西牟婁郡_白浜町","50.0","41.3","8.7","4.1","-1.0","5.0","0.1","46.0","35.5","0.7","9.7","100.0"
"西牟婁郡_上富田町","55.6","45.3","10.3","4.4","-0.7","5.1","0.0","40.0","27.7","2.1","10.3","100.0"
"西牟婁郡_すさみ町","56.5","46.7","9.8","4.1","-1.4","5.5","0.0","39.4","24.5","1.0","13.8","100.0"
"東牟婁郡_那智勝浦町","62.6","52.0","10.7","4.8","-1.4","6.1","0.1","32.5","17.8","0.0","14.8","100.0"
"東牟婁郡_太地町","68.5","57.1","11.4","4.9","-1.9","6.7","0.1","26.6","10.6","0.9","15.1","100.0"
"東牟婁郡_古座川町","69.0","57.0","11.9","5.7","-1.0","6.4","0.3","25.3","9.4","0.9","15.0","100.0"
"東牟婁郡_北山村","61.8","52.2","9.6","4.0","-1.8","5.7","0.1","34.2","26.2","-1.6","9.6","100.0"
"東牟婁郡_串本町","59.8","48.5","11.3","8.2","2.2","6.0","0.0","32.0","16.9","-0.1","15.2","100.0"
"海草地区","46.1","37.9","8.2","3.5","-1.3","4.7","0.1","50.4","39.8","0.5","10.1","100.0"
"那賀地区","64.0","53.0","11.0","4.5","-1.1","5.5","0.1","31.5","19.1","0.8","11.5","100.0"
"伊都地区","65.9","54.1","11.8","4.2","-1.6","5.7","0.1","29.8","16.8","0.7","12.3","100.0"
"有田地区","49.4","40.4","8.9","3.4","-1.0","4.4","0.0","47.2","33.4","1.3","12.6","100.0"
"日高地区","59.2","48.5","10.6","6.3","0.5","5.7","0.1","34.5","22.9","-1.5","13.2","100.0"
"西牟婁地区","54.3","44.4","9.9","5.9","0.5","5.3","0.1","39.8","28.4","0.6","10.8","100.0"
"東牟婁地区","56.6","46.0","10.5","5.2","-0.5","5.6","0.1","38.2","25.3","0.3","12.6","100.0"
