"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","61.9","52.6","9.4","3.7","-1.0","4.6","0.1","34.4","23.1","0.3","11.0","100.0"
"和歌山市","55.2","46.5","8.7","3.1","-1.5","4.6","0.0","41.7","32.2","0.1","9.4","100.0"
"海南市","57.9","49.5","8.5","3.5","-0.6","4.1","0.1","38.5","24.0","2.3","12.2","100.0"
"橋本市","72.4","61.9","10.6","3.8","-1.1","4.8","0.0","23.8","11.6","0.9","11.2","100.0"
"有田市","52.1","44.5","7.6","2.8","-0.6","3.4","0.0","45.2","33.4","0.9","10.9","100.0"
"御坊市","61.5","51.1","10.5","4.5","-0.6","5.0","0.1","34.0","23.9","-2.8","12.9","100.0"
"田辺市","64.5","54.7","9.8","4.3","-0.6","4.8","0.1","31.2","19.0","0.6","11.7","100.0"
"新宮市","61.6","51.9","9.7","4.1","-0.9","4.9","0.1","34.3","22.7","0.4","11.2","100.0"
"紀の川市","71.8","61.8","10.0","3.8","-0.8","4.5","0.1","24.4","10.8","1.1","12.6","100.0"
"岩出市","76.7","65.6","11.0","4.1","-0.4","4.5","0.0","19.3","8.2","1.5","9.6","100.0"
"海草郡_紀美野町","74.4","63.8","10.6","4.0","-0.8","4.8","0.1","21.6","6.5","0.9","14.2","100.0"
"伊都郡_かつらぎ町","72.0","61.3","10.7","4.2","-0.6","4.8","0.0","23.8","8.4","1.0","14.3","100.0"
"伊都郡_九度山町","75.6","65.3","10.3","4.6","-0.9","5.4","0.1","19.7","6.2","0.4","13.2","100.0"
"伊都郡_高野町","69.8","60.2","9.6","4.5","-0.8","4.5","0.8","25.7","13.5","-0.4","12.6","100.0"
"有田郡_湯浅町","68.1","57.2","10.9","4.6","0.0","4.5","0.1","27.4","10.4","2.0","14.9","100.0"
"有田郡_広川町","68.4","58.3","10.1","3.3","-1.0","4.2","0.1","28.3","12.0","3.3","13.0","100.0"
"有田郡_有田川町","66.0","56.4","9.6","3.1","-1.5","4.5","0.1","31.0","13.4","2.0","15.6","100.0"
"日高郡_美浜町","76.4","64.3","12.1","10.2","5.3","4.9","0.0","13.3","5.3","-3.1","11.1","100.0"
"日高郡_日高町","74.4","64.3","10.1","4.0","-0.9","4.9","0.1","21.6","7.4","1.0","13.2","100.0"
"日高郡_由良町","60.0","51.7","8.3","3.8","-0.4","4.1","0.1","36.2","24.8","0.6","10.8","100.0"
"日高郡印南町","65.1","56.2","9.0","4.3","-0.7","5.0","0.1","30.5","16.6","0.9","13.0","100.0"
"日高郡みなべ町","61.0","52.3","8.7","3.8","-1.2","4.9","0.1","35.2","17.8","1.1","16.3","100.0"
"日高郡日高川町","85.9","74.1","11.8","4.3","-1.7","5.9","0.1","9.8","13.0","-17.2","14.0","100.0"
"西牟婁郡_白浜町","65.2","55.6","9.6","4.1","-0.2","4.2","0.1","30.7","20.3","0.5","9.9","100.0"
"西牟婁郡_上富田町","70.7","60.1","10.6","4.0","-0.7","4.6","0.1","25.3","13.4","1.0","11.0","100.0"
"西牟婁郡_すさみ町","70.8","60.7","10.1","5.0","-0.5","5.4","0.1","24.2","8.5","0.7","15.1","100.0"
"東牟婁郡_那智勝浦町","72.6","62.5","10.1","4.9","-0.1","5.0","0.1","22.5","7.8","0.3","14.4","100.0"
"東牟婁郡_太地町","75.6","65.4","10.2","4.5","-0.8","5.2","0.0","19.9","3.9","1.9","14.1","100.0"
"東牟婁郡_古座川町","81.5","69.7","11.8","5.7","-0.5","5.8","0.4","12.8","7.1","-10.2","15.9","100.0"
"東牟婁郡_北山村","75.3","65.1","10.2","4.2","-0.8","4.9","0.2","20.5","13.0","-1.5","9.0","100.0"
"東牟婁郡_串本町","68.6","57.7","10.9","6.1","1.2","4.9","0.1","25.3","11.7","-0.5","14.0","100.0"
"海草地区","55.9","47.2","8.7","3.2","-1.4","4.6","0.0","40.9","30.8","0.3","9.8","100.0"
"那賀地区","73.8","63.4","10.4","3.9","-0.6","4.5","0.1","22.2","9.7","1.2","11.3","100.0"
"伊都地区","72.4","61.8","10.5","3.9","-1.0","4.8","0.1","23.7","10.9","0.8","12.0","100.0"
"有田地区","60.1","51.2","8.9","3.2","-0.8","4.0","0.1","36.7","22.0","1.6","13.1","100.0"
"日高地区","66.8","56.8","10.1","4.8","-0.3","5.0","0.1","28.4","17.8","-2.7","13.2","100.0"
"西牟婁地区","65.6","55.7","9.9","4.3","-0.5","4.7","0.1","30.2","18.2","0.6","11.3","100.0"
"東牟婁地区","67.0","56.8","10.2","4.8","-0.2","5.0","0.1","28.2","15.5","-0.2","12.8","100.0"
