"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","-2.9","-3.1","-1.7","13.1","29.2","4.0","1.6","5.5","6.4","81.0","1.0","0.6"
"和歌山市","-3.1","-3.4","-1.7","14.5","24.1","1.7","2.5","5.0","4.9","814.3","0.4","0.8"
"海南市","-3.0","-2.7","-5.1","7.8","8.3","5.4","0.6","-2.4","-1.0","-12.6","-3.2","-2.4"
"橋本市","-2.6","-2.8","-1.6","9.3","11.0","4.8","13.0","0.8","2.2","-20.2","1.1","-1.4"
"有田市","-1.4","-1.9","1.7","10.7","11.3","6.6","3.6","27.0","35.4","3.2","3.4","11.8"
"御坊市","-3.5","-3.4","-4.2","16.4","97.4","2.9","4.3","12.7","8.3","77.9","1.2","2.9"
"田辺市","-3.2","-3.7","-0.3","17.7","94.8","5.1","4.9","0.4","2.5","-84.3","1.2","-1.2"
"新宮市","-4.5","-4.7","-3.2","11.1","33.3","3.5","2.2","-2.3","-3.2","6.4","-0.8","-3.1"
"紀の川市","-1.8","-2.0","-0.8","14.2","29.1","7.0","0.8","7.8","17.8","-18.4","1.5","1.1"
"岩出市","-1.3","-1.4","-0.3","10.9","15.4","8.4","-1.3","6.9","19.4","-24.3","1.1","0.8"
"海草郡_紀美野町","-2.5","-2.7","-1.4","11.1","21.6","5.4","3.8","7.3","33.0","-60.8","-0.2","0.2"
"伊都郡_かつらぎ町","-2.7","-2.7","-2.2","9.9","24.8","5.4","1.8","7.0","13.5","-9.3","4.3","0.2"
"伊都郡_九度山町","-2.9","-2.9","-2.4","5.6","8.8","3.4","0.3","-5.1","-20.7","-67.3","4.0","-2.9"
"伊都郡_高野町","-3.9","-4.1","-2.7","10.6","25.1","7.1","-7.3","-2.5","-1.6","-47.1","-2.0","-2.9"
"有田郡_湯浅町","-2.2","-2.4","-1.1","16.4","895.2","6.9","4.0","1.5","11.9","-57.8","2.2","-0.3"
"有田郡_広川町","-0.6","-0.8","0.8","13.9","13.5","7.9","-0.5","9.6","20.8","-9.0","4.0","2.8"
"有田郡_有田川町","-1.1","-1.4","0.1","18.2","14.3","7.5","3.5","12.3","22.3","-0.4","5.3","3.6"
"日高郡_美浜町","-2.8","-2.6","-4.0","14.5","21.9","6.5","6.5","15.8","0.1","62.0","1.8","1.4"
"日高郡_日高町","-1.1","-1.2","-0.3","13.9","15.2","8.4","6.8","4.1","1.8","0.7","5.7","0.6"
"日高郡_由良町","-1.7","-1.8","-1.0","14.6","61.9","7.5","15.4","-34.4","-52.4","10.6","4.4","-12.9"
"日高郡印南町","-2.1","-2.2","-1.4","11.0","21.2","6.4","-6.0","1.1","-14.8","166.4","10.0","-0.5"
"日高郡みなべ町","-1.5","-1.7","-0.3","16.0","15.5","8.4","-10.3","-10.5","-29.0","30.9","6.7","-4.1"
"日高郡日高川町","-2.4","-2.5","-1.6","16.3","20.1","6.0","4.4","160.9","20.3","72.3","5.1","14.5"
"西牟婁郡_白浜町","-4.6","-5.0","-2.6","4.2","-49.7","6.1","-2.1","12.4","18.6","1.8","0.2","1.0"
"西牟婁郡_上富田町","-2.5","-2.8","-0.8","11.7","14.2","8.2","-11.0","37.4","64.0","44.0","4.5","8.2"
"西牟婁郡_すさみ町","-3.9","-4.1","-3.0","9.4","58.7","2.9","5.0","-4.6","-9.3","-39.7","-0.4","-3.5"
"東牟婁郡_那智勝浦町","-5.4","-5.8","-3.3","6.6","73.4","4.5","-3.2","-1.4","0.4","-41.2","-1.7","-3.9"
"東牟婁郡_太地町","-4.8","-5.0","-3.7","3.7","-14.3","5.4","-3.8","11.6","50.4","-15.1","4.5","-1.1"
"東牟婁郡_古座川町","-4.2","-4.1","-4.6","13.5","104.7","5.2","-4.2","67.5","15.3","71.2","2.0","6.0"
"東牟婁郡_北山村","-3.8","-3.9","-3.4","23.9","69.6","9.8","-6.5","32.3","41.9","98.5","-3.3","4.7"
"東牟婁郡_串本町","-4.4","-4.4","-4.6","11.7","44.0","4.3","-1.4","-6.0","-14.8","56.3","-0.2","-3.8"
"海草地区","-3.1","-3.3","-2.1","13.5","23.3","2.1","2.3","4.2","4.5","106.8","-0.2","0.4"
"那賀地区","-1.6","-1.8","-0.5","12.8","25.1","7.6","0.2","7.5","18.4","-21.4","1.4","1.0"
"伊都地区","-2.7","-2.9","-1.8","9.3","13.3","4.9","1.3","1.6","2.9","-20.3","1.8","-1.2"
"有田地区","-1.4","-1.7","0.6","14.4","20.9","7.1","3.2","19.2","30.6","-12.3","3.9","6.7"
"日高地区","-2.4","-2.4","-2.4","15.1","173.1","5.7","3.0","5.9","-7.8","92.4","4.3","0.8"
"西牟婁地区","-3.4","-3.9","-0.9","14.1","70.5","5.5","1.4","6.3","11.1","-45.2","1.3","0.3"
"東牟婁地区","-4.674805922784287","-4.860238891087235","-3.6371407169209817","10.17748412377604","138.83932688477813","4.1008036376768615","-0.2926917898206085","-1.3036074826057558","-3.8072867018875485","174.08204696397684","-0.5380279472109208","-3.004569447331079"
