"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","55.0","45.7","9.2","3.7","-1.3","4.9","0.1","41.3","29.5","0.7","11.1","100.0"
"和歌山市","47.9","39.8","8.0","2.9","-2.0","4.7","0.1","49.2","38.7","0.7","9.8","100.0"
"海南市","50.7","42.6","8.1","3.3","-1.1","4.3","0.1","46.1","33.6","1.3","11.2","100.0"
"橋本市","68.4","57.0","11.4","3.7","-1.6","5.3","0.1","27.9","15.0","1.8","11.0","100.0"
"有田市","56.8","47.5","9.3","3.4","-1.0","4.3","0.1","39.8","24.9","1.5","13.4","100.0"
"御坊市","57.4","46.3","11.1","4.9","-0.5","5.3","0.2","37.7","35.0","-9.6","12.3","100.0"
"田辺市","57.8","47.8","10.0","5.3","0.1","5.2","0.1","36.9","25.4","0.5","11.0","100.0"
"新宮市","54.7","44.6","10.1","4.1","-1.2","5.1","0.1","41.2","30.3","0.6","10.3","100.0"
"紀の川市","64.4","54.2","10.2","4.1","-1.1","5.0","0.1","31.5","18.0","1.1","12.5","100.0"
"岩出市","67.2","56.3","10.9","4.3","-0.7","4.9","0.0","28.6","18.1","1.0","9.5","100.0"
"海草郡_紀美野町","69.6","58.3","11.2","4.6","-1.1","5.6","0.1","25.8","9.6","1.0","15.3","100.0"
"伊都郡_かつらぎ町","61.0","50.7","10.3","4.0","-1.0","4.9","0.0","35.0","19.6","1.2","14.2","100.0"
"伊都郡_九度山町","66.3","56.0","10.2","4.7","-1.1","5.7","0.1","29.1","13.1","2.3","13.6","100.0"
"伊都郡_高野町","68.0","57.5","10.5","7.5","-0.6","5.0","3.0","24.5","12.1","0.6","11.8","100.0"
"有田郡_湯浅町","62.7","51.0","11.6","5.5","0.5","4.9","0.1","31.8","16.8","-0.4","15.4","100.0"
"有田郡_広川町","67.8","56.2","11.6","3.8","-1.4","5.1","0.1","28.4","9.8","2.9","15.8","100.0"
"有田郡_有田川町","57.9","48.2","9.7","3.0","-1.7","4.6","0.1","39.1","20.8","2.4","15.9","100.0"
"日高郡_美浜町","70.7","57.8","12.9","12.4","7.1","5.3","0.0","16.9","5.0","1.3","10.5","100.0"
"日高郡_日高町","72.1","61.1","11.0","4.2","-1.5","5.6","0.1","23.7","8.4","1.7","13.6","100.0"
"日高郡_由良町","59.0","49.9","9.2","3.7","-1.3","5.0","0.1","37.2","24.6","0.5","12.1","100.0"
"日高郡印南町","60.2","50.7","9.5","4.8","-0.8","5.5","0.1","35.0","18.2","2.2","14.6","100.0"
"日高郡みなべ町","56.8","47.3","9.4","4.0","-1.2","5.1","0.1","39.2","20.8","1.4","17.1","100.0"
"日高郡日高川町","63.8","53.6","10.1","4.2","-1.4","5.4","0.1","32.0","18.1","1.8","12.1","100.0"
"西牟婁郡_白浜町","50.2","42.0","8.2","4.0","-0.6","4.4","0.1","45.9","35.5","0.9","9.5","100.0"
"西牟婁郡_上富田町","60.5","50.1","10.4","4.0","-0.8","4.7","0.1","35.5","22.9","2.0","10.6","100.0"
"西牟婁郡_すさみ町","65.7","54.9","10.8","5.2","-0.7","5.8","0.1","29.1","13.0","1.0","15.1","100.0"
"東牟婁郡_那智勝浦町","65.3","54.9","10.4","5.6","-0.5","6.0","0.1","29.1","13.8","0.5","14.8","100.0"
"東牟婁郡_太地町","66.7","56.5","10.2","4.0","-1.7","5.6","0.2","29.3","6.4","5.8","17.0","100.0"
"東牟婁郡_古座川町","69.3","57.7","11.6","6.8","0.3","6.2","0.4","23.9","9.1","0.4","14.4","100.0"
"東牟婁郡_北山村","63.3","53.1","10.2","7.1","1.3","5.6","0.1","29.6","15.8","4.1","9.6","100.0"
"東牟婁郡_串本町","61.6","50.5","11.1","7.0","1.5","5.5","0.0","31.4","15.7","0.1","15.6","100.0"
"海草地区","48.6","40.4","8.1","3.0","-1.8","4.7","0.1","48.5","37.7","0.7","10.1","100.0"
"那賀地区","65.6","55.1","10.5","4.2","-0.9","5.0","0.1","30.2","18.0","1.1","11.2","100.0"
"伊都地区","66.9","55.8","11.1","4.0","-1.4","5.2","0.2","29.1","15.7","1.7","11.8","100.0"
"有田地区","59.0","49.0","10.0","3.6","-1.0","4.6","0.1","37.3","21.0","1.6","14.8","100.0"
"日高地区","61.1","50.5","10.6","5.3","-0.1","5.3","0.1","33.6","22.7","-2.3","13.2","100.0"
"西牟婁地区","56.8","47.2","9.7","4.9","-0.2","5.0","0.1","38.3","26.7","0.8","10.8","100.0"
"東牟婁地区","59.5","49.1","10.4","5.2","-0.4","5.5","0.1","35.3","21.7","0.7","12.9","100.0"
