"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","1.1","-0.5","9.8","-15.8","38.7","-21.2","-3.2","-2.1","-5.7","44.1","2.6","-0.7"
"和歌山市","1.8","0.0","11.2","-19.4","30.2","-23.0","-2.0","-5.4","-6.7","-35.1","2.8","-1.8"
"海南市","1.3","0.3","6.8","-16.6","38.3","-19.9","-3.9","-7.9","-15.3","15.3","2.8","-2.9"
"橋本市","1.6","0.3","8.8","-14.4","35.4","-19.2","6.4","7.5","4.2","318.1","2.1","2.0"
"有田市","0.2","-1.4","8.9","-17.4","26.9","-19.2","-1.0","-25.9","-48.4","449.2","3.1","-8.8"
"御坊市","1.1","-0.6","9.8","-14.0","60.3","-23.8","-0.5","-3.3","16.2","-291.2","3.9","-1.2"
"田辺市","1.7","0.1","10.1","-13.5","58.8","-21.3","0.8","2.4","7.4","-241.8","3.0","1.0"
"新宮市","0.5","-1.1","8.6","-13.2","52.3","-21.2","-1.5","-1.3","-2.2","-137.5","4.5","-0.8"
"紀の川市","3.1","1.8","10.9","-13.0","41.7","-17.8","-4.6","-0.2","-5.7","218.1","0.5","1.5"
"岩出市","-0.4","-2.0","8.9","-12.7","46.3","-17.1","-6.5","5.7","4.8","21.2","4.2","0.0"
"海草郡_紀美野町","-4.0","-5.4","4.7","-11.0","85.9","-20.2","-1.4","-2.0","2.2","-74.7","2.6","-4.0"
"伊都郡_かつらぎ町","-2.6","-4.2","5.8","-9.6","66.8","-18.4","-3.4","-2.3","-11.6","98.8","1.3","-2.9"
"伊都郡_九度山町","-2.0","-3.3","5.4","-11.9","72.3","-20.2","-3.4","-1.3","-1.3","54.4","-3.2","-2.5"
"伊都郡_高野町","-0.3","-1.6","7.9","9.2","107.2","-16.2","-10.3","13.0","22.0","23.2","1.5","3.0"
"有田郡_湯浅町","-2.4","-4.3","7.9","-10.0","107.1","-18.7","-2.1","-6.9","-5.0","-54.8","3.7","-3.9"
"有田郡_広川町","1.0","-0.6","10.0","-52.6","-79.8","-20.1","-6.9","1.9","-23.4","108.5","1.6","-1.0"
"有田郡_有田川町","2.2","0.8","10.4","-16.9","28.9","-20.9","-1.2","8.9","5.9","562.6","1.2","3.3"
"日高郡_美浜町","-0.3","-1.9","8.1","-10.2","1.6","-18.8","-1.7","-43.5","14.7","-217.9","1.6","-8.8"
"日高郡_日高町","1.8","0.6","9.3","-15.7","29.7","-18.4","0.3","-0.7","-11.9","109.8","-0.7","0.4"
"日高郡_由良町","-1.2","-2.5","6.9","-11.0","79.6","-19.3","5.3","-4.0","-15.0","71.3","5.5","-2.4"
"日高郡印南町","-1.5","-2.8","6.5","-17.0","48.0","-22.4","-10.4","-9.8","-20.4","-1.6","3.1","-4.5"
"日高郡みなべ町","-6.7","-8.3","2.5","-15.5","49.8","-24.2","-13.2","4.8","8.2","-19.0","3.3","-3.6"
"日高郡日高川町","1.5","0.3","8.7","0.4","58.9","-19.0","-2.4","132.3","28.2","80.3","1.3","125.6"
"西牟婁郡_白浜町","-0.7","-2.6","10.0","-12.8","100.6","-19.0","-5.4","-5.0","-8.7","280.0","2.5","-2.6"
"西牟婁郡_上富田町","0.6","-1.1","10.1","-13.7","41.9","-17.9","-13.9","27.9","19.8","103.9","6.8","5.0"
"西牟婁郡_すさみ町","1.5","0.2","9.2","-4.8","129.1","-21.3","-0.5","9.1","27.8","-70.4","1.9","2.7"
"東牟婁郡_那智勝浦町","-1.0","-2.3","6.9","-12.6","142.8","-19.6","-7.0","4.1","-6.7","65.3","0.6","-0.8"
"東牟婁郡_太地町","-2.4","-3.7","5.3","-20.6","32.5","-21.6","-7.3","-3.1","-25.2","155.4","-3.2","-3.7"
"東牟婁郡_古座川町","5.0","4.0","11.0","-6.2","103.9","-20.5","-7.8","253.4","-12.6","72.3","-0.3","30.3"
"東牟婁郡_北山村","5.7","4.7","12.2","28.3","106.7","-16.3","-10.3","-31.7","-15.5","-141.7","-1.6","-3.5"
"東牟婁郡_串本町","1.5","-0.8","14.1","-11.9","42.9","-19.5","-5.2","-7.0","9.8","-305.0","1.8","-1.4"
"海草地区","1.6","-0.1","10.5","-18.8","31.0","-22.7","-2.2","-5.6","-7.5","-52.1","2.8","-2.0"
"那賀地区","1.6","0.1","10.0","-12.9","43.4","-17.5","-5.2","1.8","-2.4","59.9","1.8","0.9"
"伊都地区","0.5","-0.9","8.0","-12.0","45.2","-18.9","-4.4","5.4","2.3","325.6","1.6","0.9"
"有田地区","0.4","-1.1","9.3","-18.8","22.6","-19.8","-1.9","-10.0","-27.3","116.2","2.4","-3.4"
"日高地区","-0.7","-2.2","7.7","-12.3","84.7","-21.9","-3.6","25.1","7.8","56.2","2.9","4.1"
"西牟婁地区","1.1","-0.6","10.0","-13.0","62.8","-20.5","-3.1","3.0","4.6","-8740.5","3.3","0.8"
"東牟婁地区","0.5","-1.2","9.5","-12.6","104.1","-20.4","-4.2","1.0","-1.5","16.8","2.2","-0.2"
