"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","60.1","50.4","9.7","4.5","-1.2","5.5","0.1","35.5","24.6","-0.2","11.0","100.0"
"和歌山市","52.9","44.4","8.6","3.7","-1.9","5.5","0.2","43.4","34.7","-1.6","10.2","100.0"
"海南市","55.5","47.0","8.5","3.9","-1.0","4.8","0.1","40.6","27.8","1.5","11.2","100.0"
"橋本市","72.6","61.0","11.6","4.2","-1.6","5.8","0.1","23.2","11.2","0.8","11.2","100.0"
"有田市","61.3","51.3","10.0","3.9","-1.0","4.8","0.1","34.8","19.6","2.3","13.0","100.0"
"御坊市","63.0","51.1","11.8","6.0","-0.2","6.1","0.2","31.0","20.6","-2.0","12.4","100.0"
"田辺市","66.0","55.1","10.9","6.5","0.3","6.1","0.1","27.5","17.5","-1.2","11.1","100.0"
"新宮市","62.2","51.2","11.0","5.1","-1.0","6.0","0.1","32.7","22.1","-0.5","11.1","100.0"
"紀の川市","69.4","58.9","10.5","4.6","-1.0","5.5","0.1","26.0","12.5","1.8","11.7","100.0"
"岩出市","70.0","59.2","10.8","4.6","-0.6","5.1","0.0","25.5","15.3","0.9","9.4","100.0"
"海草郡_紀美野町","71.5","60.4","11.1","5.0","-0.9","5.9","0.1","23.5","7.4","2.0","14.1","100.0"
"伊都郡_かつらぎ町","68.8","57.7","11.1","4.8","-1.0","5.7","0.0","26.5","11.3","2.1","13.1","100.0"
"伊都郡_九度山町","73.1","62.2","10.8","5.3","-1.2","6.4","0.1","21.6","5.8","2.6","13.2","100.0"
"伊都郡_高野町","66.5","56.6","9.8","7.4","-0.4","5.0","2.8","26.1","13.8","1.4","10.9","100.0"
"有田郡_湯浅町","68.2","56.0","12.2","6.2","0.6","5.5","0.1","25.6","13.4","-2.9","15.1","100.0"
"有田郡_広川町","70.8","59.2","11.6","4.0","-1.5","5.4","0.1","25.2","8.6","3.1","13.5","100.0"
"有田郡_有田川町","61.2","51.4","9.8","3.5","-1.7","5.1","0.1","35.3","17.7","3.5","14.1","100.0"
"日高郡_美浜町","71.5","58.7","12.7","13.2","7.9","5.3","0.0","15.3","4.7","0.7","9.9","100.0"
"日高郡_日高町","75.5","64.5","11.0","4.5","-1.6","6.0","0.1","20.0","5.2","2.3","12.5","100.0"
"日高郡_由良町","50.4","42.9","7.5","3.5","-0.9","4.4","0.1","46.1","36.3","0.5","9.2","100.0"
"日高郡印南町","62.7","53.2","9.5","5.2","-0.8","5.8","0.1","32.1","17.7","2.1","12.3","100.0"
"日高郡みなべ町","63.5","53.4","10.1","5.1","-1.2","6.2","0.1","31.4","15.9","1.3","14.3","100.0"
"日高郡日高川町","70.6","59.9","10.8","4.8","-1.5","6.1","0.1","24.6","10.2","3.5","11.0","100.0"
"西牟婁郡_白浜町","56.4","47.7","8.7","4.6","-0.5","5.1","0.1","38.9","27.5","2.0","9.4","100.0"
"西牟婁郡_上富田町","68.7","57.3","11.3","4.5","-1.1","5.5","0.1","26.8","13.5","2.4","11.0","100.0"
"西牟婁郡_すさみ町","68.7","57.8","10.8","5.8","-0.5","6.2","0.1","25.6","10.3","1.0","14.2","100.0"
"東牟婁郡_那智勝浦町","67.6","57.3","10.3","6.1","-0.3","6.3","0.1","26.3","11.5","0.4","14.3","100.0"
"東牟婁郡_太地町","68.9","58.8","10.1","4.4","-1.7","5.9","0.2","26.7","7.2","4.2","15.3","100.0"
"東牟婁郡_古座川町","71.2","59.7","11.5","8.4","1.7","6.4","0.4","20.4","7.7","-0.4","13.2","100.0"
"東牟婁郡_北山村","67.6","57.0","10.6","7.8","1.6","6.2","0.1","24.6","13.7","1.9","9.0","100.0"
"東牟婁郡_串本町","66.1","54.6","11.5","8.3","2.3","5.9","0.0","25.6","11.6","-0.4","14.4","100.0"
"海草地区","53.6","44.9","8.6","3.8","-1.8","5.4","0.1","42.7","33.5","-1.1","10.4","100.0"
"那賀地区","69.7","59.0","10.6","4.6","-0.9","5.3","0.1","25.8","13.7","1.4","10.6","100.0"
"伊都地区","71.6","60.2","11.4","4.5","-1.4","5.7","0.2","23.9","11.1","1.2","11.6","100.0"
"有田地区","63.2","52.7","10.4","4.1","-1.1","5.1","0.1","32.7","17.0","1.9","13.7","100.0"
"日高地区","64.6","53.8","10.8","6.0","0.1","5.8","0.1","29.4","17.0","0.5","11.9","100.0"
"西牟婁地区","64.5","53.9","10.5","5.9","0.0","5.8","0.1","29.7","18.8","0.0","10.8","100.0"
"東牟婁地区","64.9","54.0","10.9","6.2","0.0","6.1","0.1","28.9","16.1","0.0","12.8","100.0"
