"項目","1.雇用者報酬","1.雇用者報酬_うち賃金・俸給","1.雇用者報酬_うち雇主の社会負担","2. 財産所得_ (非企業部門)","2. 財産所得_うち一般政府","2. 財産所得_うち家計","2. 財産所得_うち対家計民間非営利団体","3. 企業所得_ (法人企業の分配所得受払後)","3. 企業所得_うち民間法人企業","3. 企業所得_うち公的企業","3. 企業所得_うち個人企業","4.市町村民所得(1+2+3)"
"和歌山県計","59.8","50.7","9.1","4.1","-0.7","4.8","0.1","36.1","24.4","0.6","11.0","100.0"
"和歌山市","53.1","44.6","8.5","3.5","-1.2","4.7","0.0","43.4","33.5","0.5","9.4","100.0"
"海南市","57.5","49.3","8.2","3.9","-0.6","4.5","0.1","38.5","24.4","2.0","12.1","100.0"
"橋本市","71.5","60.9","10.5","4.2","-0.9","5.1","0.1","24.3","12.1","0.7","11.5","100.0"
"有田市","45.9","39.0","6.9","2.7","-0.5","3.2","0.0","51.3","40.4","0.8","10.1","100.0"
"御坊市","57.7","48.0","9.7","5.0","0.0","5.0","0.1","37.2","25.1","-0.6","12.7","100.0"
"田辺市","63.2","53.3","9.9","5.2","0.0","5.1","0.1","31.7","19.6","0.1","11.9","100.0"
"新宮市","60.7","51.0","9.7","4.8","-0.6","5.2","0.1","34.6","22.7","0.4","11.5","100.0"
"紀の川市","69.7","59.8","9.8","4.3","-0.5","4.8","0.1","26.0","12.5","0.9","12.6","100.0"
"岩出市","75.1","64.2","10.9","4.5","-0.4","4.8","0.0","20.5","9.7","1.1","9.6","100.0"
"海草郡_紀美野町","72.4","62.0","10.4","4.5","-0.7","5.1","0.1","23.1","8.7","0.4","14.1","100.0"
"伊都郡_かつらぎ町","70.0","59.5","10.5","4.6","-0.5","5.0","0.0","25.4","9.6","0.9","14.9","100.0"
"伊都郡_九度山町","75.7","65.3","10.3","5.0","-0.8","5.7","0.1","19.3","5.1","0.1","14.1","100.0"
"伊都郡_高野町","69.0","59.4","9.6","5.1","-0.7","5.0","0.8","25.8","13.7","-0.6","12.7","100.0"
"有田郡_湯浅町","66.8","56.0","10.8","5.3","0.4","4.9","0.1","27.8","11.7","0.9","15.3","100.0"
"有田郡_広川町","66.2","56.3","9.9","3.7","-0.8","4.4","0.1","30.1","14.1","2.9","13.2","100.0"
"有田郡_有田川町","63.0","53.7","9.2","3.5","-1.3","4.7","0.1","33.5","15.8","1.9","15.8","100.0"
"日高郡_美浜町","73.2","61.8","11.4","11.6","6.4","5.1","0.0","15.2","5.2","-1.2","11.2","100.0"
"日高郡_日高町","73.2","63.1","10.0","4.5","-0.8","5.2","0.1","22.3","7.5","1.0","13.8","100.0"
"日高郡_由良町","67.7","58.3","9.5","5.0","-0.2","5.0","0.1","27.3","13.6","0.8","12.9","100.0"
"日高郡印南町","64.1","55.2","8.9","4.8","-0.6","5.4","0.1","31.0","14.2","2.4","14.4","100.0"
"日高郡みなべ町","62.6","53.5","9.0","4.6","-1.1","5.6","0.1","32.9","13.2","1.6","18.1","100.0"
"日高郡日高川町","73.2","63.1","10.2","4.4","-1.2","5.4","0.1","22.4","13.7","-4.2","12.9","100.0"
"西牟婁郡_白浜町","61.6","52.3","9.3","4.2","-0.2","4.4","0.1","34.2","23.8","0.5","9.9","100.0"
"西牟婁郡_上富田町","63.7","54.0","9.7","4.1","-0.6","4.6","0.1","32.2","20.3","1.3","10.6","100.0"
"西牟婁郡_すさみ町","70.5","60.3","10.2","5.6","-0.2","5.7","0.1","23.9","8.0","0.4","15.5","100.0"
"東牟婁郡_那智勝浦町","71.5","61.3","10.2","5.4","0.0","5.4","0.1","23.0","8.2","0.2","14.7","100.0"
"東牟婁郡_太地町","72.9","62.9","9.9","4.7","-0.9","5.6","0.0","22.5","5.9","1.6","14.9","100.0"
"東牟婁郡_古座川町","73.6","63.0","10.6","6.1","0.0","5.8","0.3","20.3","7.8","-2.8","15.3","100.0"
"東牟婁郡_北山村","69.1","59.7","9.4","5.0","-0.2","5.1","0.1","25.9","17.7","0.0","8.3","100.0"
"東牟婁郡_串本町","68.2","57.4","10.8","7.1","1.7","5.3","0.1","24.7","10.4","-0.2","14.5","100.0"
"海草地区","53.9","45.5","8.5","3.6","-1.1","4.6","0.0","42.5","32.0","0.7","9.8","100.0"
"那賀地区","72.0","61.7","10.3","4.4","-0.5","4.8","0.1","23.7","11.3","1.0","11.3","100.0"
"伊都地区","71.3","60.8","10.5","4.3","-0.8","5.1","0.1","24.4","11.3","0.7","12.4","100.0"
"有田地区","55.5","47.2","8.4","3.4","-0.6","4.0","0.1","41.0","27.0","1.3","12.8","100.0"
"日高地区","64.7","54.9","9.8","5.5","0.2","5.2","0.1","29.8","16.3","-0.2","13.7","100.0"
"西牟婁地区","63.1","53.4","9.8","4.9","-0.1","4.9","0.1","32.0","20.2","0.3","11.5","100.0"
"東牟婁地区","65.8","55.7","10.1","5.5","0.1","5.3","0.1","28.7","15.4","0.1","13.2","100.0"
